game,mechanism,model,player,label,share_pct,group_count
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Individual utility maximization,83.3333,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic equilibrium focus,77.7778,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Social welfare maximization,11.1111,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic influence,11.1111,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Reciprocity,5.5556,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Multidimensional reasoning,5.5556,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Individual utility maximization,88.8889,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic equilibrium focus,77.7778,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Social welfare maximization,16.6667,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Trust evaluation,11.1111,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Social norm conformity,11.1111,18
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Multidimensional reasoning,11.1111,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Individual utility maximization,100.0000,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic equilibrium focus,88.8889,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Individual utility maximization,83.3333,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic influence,5.5556,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Trust evaluation,5.5556,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Multidimensional reasoning,5.5556,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Individual utility maximization,72.2222,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic equilibrium focus,72.2222,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Uncertainty evaluation,38.8889,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic influence,16.6667,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Exploration-exploitation trade-off,16.6667,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Social welfare maximization,11.1111,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Inequity aversion,5.5556,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Risk aversion,5.5556,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Individual utility maximization,77.7778,18
